,,,,,
DAFTAR CALON TETAP,,,,,
ANGGOTA DEWAN PERWAKILAN RAKYAT DAERAH D.I. YOGYAKARTA PEMILIHAN UMUM TAHUN 2014,,,,,
PROVINSI : D.I. YOGYAKARTA,,,,,
DAERAH PEMILIHAN : D.I. YOGYAKARTA 1,,,,,
MODEL BD 1,,,,,
"1
PARTAI NASDEM
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"ARIF NOOR HARTANTO, S.IP.",L,KOTA YOGYAKARTA
2,,,"ARNABUN, S.E., M.M.",P,BANTUL
3,,,"SITI MUSLIKHATUN, S.H.",P,KOTA YOGYAKARTA
4,,,Drs. A. HAZAIRIEN OEZA,L,KOTA YOGYAKARTA
5,,,"IRIAWAN ARGO WIDODO, S.IP.",L,KOTA YOGYAKARTA
6,,,"RINI NOVI ASTUTI, S.H.",P,KOTA YOGYAKARTA
7,,,AGUNG NUGROHO,L,KOTA YOGYAKARTA
"JUMLAH LAKI-LAKI: 4 JUMLAH PEREMPUAN: 3 PROSENTASE PEREMPUAN: 42,9%",,,,,
"9
PARTAI PERSATUAN PEMBANGUNAN
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,H.M. ROZI AMIN,L,KOTA YOGYAKARTA
2,,,"SITI ASKIYAH VITAYATI, S.Pd.I.",P,KOTA YOGYAKARTA
3,,,ABD. SAMIK,L,KOTA YOGYAKARTA
4,,,"RETNO ARGIANTI, S.H.",P,KOTA YOGYAKARTA
5,,,"M. ZAKI SIERRAD, S.H., M.H.",L,KOTA YOGYAKARTA
6,,,MEILAN PUSPITA SARI,P,SLEMAN
7,,,SULAIMAN R. MUCHTAR,L,KOTA YOGYAKARTA
"JUMLAH LAKI-LAKI: 4 JUMLAH PEREMPUAN: 3 PROSENTASE PEREMPUAN: 42,9%",,,,,
"10
PARTAI HATI NURANI RAKYAT
",,,,,
